Accession	Organism_Name	GenBank_RefSeq	Assembly	SRA_Accession	Submitters	Organization	Org_location	Release_Date	Isolate	Species	Genus	Family	Molecule_type	Length	Nuc_Completeness	Genotype	Segment	Publications	Geo_Location	Country	USA	Host	Tissue_Specimen_Source	Collection_Date	BioSample	BioProject	GenBank_Title	date	country	strain	virus	accession	latitude	longitude
MG659944.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA482/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S					Homo sapiens		2010			Rift Valley fever virus isolate SA482/10 segment S, complete sequence	2010		SA482/10	rvf	MG659944.1		
EU574070.1	Rift Valley fever virus	GenBank						29-OCT-2008	2007001800	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S					bovine		26-Jan-2007			Rift Valley fever virus strain 2007001800 segment S, complete sequence	2007-01-26		2007001800	rvf	EU574070.1		
MF593928.1	Phlebovirus riftense	GenBank						07-MAR-2018	rMP12-GM50	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L							2014			Phlebovirus riftense isolate rMP12-GM50 segment L, complete sequence	2014		rMP12-GM50	rvf	MF593928.1		
KX944830.1	Rift Valley fever virus	GenBank						25-OCT-2018	M19/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3878	partial		M					ovine		2010			Rift Valley fever virus isolate M19/10 glycoprotein gene, complete cds	2010		M19/10	rvf	KX944830.1		
OK415590.1	Rift Valley fever virus	GenBank						30-APR-2022	2018/MRT	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	773	partial		S					mosquito		2018			Rift Valley fever virus isolate 2018/MRT nucleocapsid protein (NP) gene, partial cds	2018		2018/MRT	rvf	OK415590.1		
KY196498.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA354/11	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S					Homo sapiens		2011			Rift Valley fever virus isolate SA354/11 segment S, complete sequence	2011		SA354/11	rvf	KY196498.1		
KX944860.1	Rift Valley fever virus	GenBank						25-OCT-2018	M260/09	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6390	partial		L					bovine		2009			Rift Valley fever virus isolate M260/09 segment L polymerase gene, complete cds	2009		M260/09	rvf	KX944860.1		
MG659767.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA395/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M					Homo sapiens		2010			Rift Valley fever virus isolate SA395/10 segment M, complete sequence	2010		SA395/10	rvf	MG659767.1		
PP746366.1	Rift Valley fever virus	GenBank						22-AUG-2024	Rwanda2022P66	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3840	partial		M					Bos taurus		2022-06-22			Rift Valley fever virus strain Rwanda2022P66 glycoprotein gene, partial cds	2022-06-22		Rwanda2022P66	rvf	PP746366.1		
KX611606.1	Rift Valley fever virus	GenBank						02-OCT-2016	Beijing-01	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M					Homo sapiens		22-Jul-2016			Rift Valley fever virus isolate Beijing-01 segment M, complete sequence	2016-07-22		Beijing-01	rvf	KX611606.1		
PQ436082.1	Rift Valley fever virus	GenBank						18-NOV-2024	CD301/Rubanda1-2022	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3815	partial		M					Homo sapiens		2022-04-10			Rift Valley fever virus isolate CD301/Rubanda1-2022 segment M glycoprotein gene, partial cds	2022-04-10		CD301/Rubanda1-2022	rvf	PQ436082.1		
EU574075.1	Rift Valley fever virus	GenBank						29-OCT-2008	2007001107	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S					bovine		25-Jan-2007			Rift Valley fever virus strain 2007001107 segment S, complete sequence	2007-01-25		2007001107	rvf	EU574075.1		
MG659739.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA79/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M					Homo sapiens		2010			Rift Valley fever virus isolate SA79/10 segment M, complete sequence	2010		SA79/10	rvf	MG659739.1		
PP746443.1	Rift Valley fever virus	GenBank						12-FEB-2025	KEM-JC	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1663	partial		S					Homo sapiens		01-Jan-2007			Rift Valley fever virus strain KEM-JC nonstructural protein and nucleocapsid genes, complete cds	2007-01-01		KEM-JC	rvf	PP746443.1		
MG659821.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA62/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L					Homo sapiens		2010			Rift Valley fever virus isolate SA62/10 segment L, complete sequence	2010		SA62/10	rvf	MG659821.1		
KX944856.1	Rift Valley fever virus	GenBank						25-OCT-2018	M21/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6329	partial		L					ovine		2010			Rift Valley fever virus isolate M21/10 segment L polymerase gene, complete cds	2010		M21/10	rvf	KX944856.1		
MG659858.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA482/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L					Homo sapiens		2010			Rift Valley fever virus isolate SA482/10 segment L, complete sequence	2010		SA482/10	rvf	MG659858.1		
MF593929.1	Phlebovirus riftense	GenBank						07-MAR-2018	rMP12-GM50	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M							2014			Phlebovirus riftense isolate rMP12-GM50 segment M, complete sequence	2014		rMP12-GM50	rvf	MF593929.1		
MG659759.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA257/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M					Homo sapiens		2010			Rift Valley fever virus isolate SA257/10 segment M, complete sequence	2010		SA257/10	rvf	MG659759.1		
GU135842.1	Rift Valley fever virus	GenBank						03-APR-2012	FI-79	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	627	partial		S					Anopheles squamosus	unfed female mosquitos	20-Dec-2008			Rift Valley fever virus strain FI-79 segment S nonstructural protein gene, partial cds	2008-12-20		FI-79	rvf	GU135842.1		
ON060783.1	Rift Valley fever virus	GenBank						25-MAR-2023	201900880_S|Uganda|2018	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1670	partial		S			Uganda		Homo sapiens		2018			Rift Valley fever virus isolate 201900880_S|Uganda|2018 nonstructural protein and nucleocapsid protein genes, complete cds	2018	Uganda	201900880_S|Uganda|2018	rvf	ON060783.1	1.3733	32.2903
OR780628.1	Rift Valley fever virus	GenBank						06-DEC-2023	BDI0007	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	5924	partial		unknown					Bos taurus		19-May-2022			Rift Valley fever virus isolate BDI0007 polymerase gene, partial cds	2022-05-19		BDI0007	rvf	OR780628.1		
MG953426.1	Rift Valley fever virus	GenBank						30-JAN-2019	201601502	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1641	partial		S					Homo sapiens		09-Jun-2016			Rift Valley fever virus strain 201601502 segment S nonstructural protein and nucleocapsid protein genes, complete cds	2016-06-09		201601502	rvf	MG953426.1		
PP746336.1	Rift Valley fever virus	GenBank						22-AUG-2024	Rwanda2022P76	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6223	partial		unknown					Bos taurus		2022-06-27			Rift Valley fever virus strain Rwanda2022P76 polymerase gene, partial cds	2022-06-27		Rwanda2022P76	rvf	PP746336.1		
JQ820483.1	Rift Valley fever virus	GenBank						26-JAN-2013	Sudan 2V-2007	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6397	complete		L			Sudan		Homo sapiens	human sera	2007			Rift Valley fever virus strain Sudan 2V-2007 segment L, complete sequence	2007	Sudan	Sudan 2V-2007	rvf	JQ820483.1	12.8628	30.2176
EF076020.1	Salobo virus	GenBank						14-JUL-2016	Be An 578142				viral cRNA	1405	partial		M										Salobo virus strain Be An 578142 polyprotein gene, partial cds			Be An 578142	rvf	EF076020.1		
KY126678.1	Rift Valley fever virus	GenBank						13-NOV-2020	SPU77/04	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L					Homo sapiens		2004			Rift Valley fever virus isolate SPU77/04 segment L, complete sequence	2004		SPU77/04	rvf	KY126678.1		
KX944837.1	Rift Valley fever virus	GenBank						25-OCT-2018	M260/09	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3866	partial		M					bovine		2009			Rift Valley fever virus isolate M260/09 glycoprotein gene, complete cds	2009		M260/09	rvf	KX944837.1		
PV231437.1	Rift Valley fever virus	GenBank						23-MAR-2025	BOT_CAP/2017/2928_S5	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3096	complete		M					caprine		2017			Rift Valley fever virus isolate BOT_CAP/2017/2928_S5 segment M, complete sequence	2017		BOT_CAP/2017/2928_S5	rvf	PV231437.1		
HM587087.1	Rift Valley fever virus	GenBank						09-DEC-2011	CAR R1752	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	490	partial		M			Central African Republic		Homo sapiens		1986			Rift Valley fever virus isolate CAR R1752 segment M glycoprotein G2 gene, partial cds	1986	Central African Republic	CAR R1752	rvf	HM587087.1		
PP746333.1	Rift Valley fever virus	GenBank						22-AUG-2024	Rwanda2022P69	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	5924	partial		unknown					Bos taurus		2022-06-13			Rift Valley fever virus strain Rwanda2022P69 polymerase gene, partial cds	2022-06-13		Rwanda2022P69	rvf	PP746333.1		
EU574066.1	Rift Valley fever virus	GenBank						29-OCT-2008	2007002060	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S					bovine		31-Jan-2007			Rift Valley fever virus strain 2007002060 segment S, complete sequence	2007-01-31		2007002060	rvf	EU574066.1		
OR780620.1	Rift Valley fever virus	GenBank						06-DEC-2023	BDI0005	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3559	partial		M					Bos taurus		19-May-2022			Rift Valley fever virus isolate BDI0005 glycoprotein gene, partial cds	2022-05-19		BDI0005	rvf	OR780620.1		
KF648858.1	Rift Valley fever virus	GenBank						10-MAR-2014	227598	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	581	partial		unknown					Homo sapiens		02-Nov-2012			Rift Valley fever virus isolate 227598 nonstructural protein (NSs) gene, partial cds	2012-11-02		227598	rvf	KF648858.1		
PP746415.1	Rift Valley fever virus	GenBank						12-FEB-2025	250618	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6385	partial		unknown					Homo sapiens		06-Jun-2018			Rift Valley fever virus strain 250618 polymerase gene, complete cds	2018-06-06		250618	rvf	PP746415.1		
JQ820487.1	Rift Valley fever virus	GenBank						26-JAN-2013	Sudan 7-2010	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M			Sudan		Homo sapiens	human sera	Oct-2010			Rift Valley fever virus strain Sudan 7-2010 segment M, complete sequence	2010	Sudan	Sudan 7-2010	rvf	JQ820487.1	12.8628	30.2176
MG659867.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA638/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L					Homo sapiens		2010			Rift Valley fever virus isolate SA638/10 segment L, complete sequence	2010		SA638/10	rvf	MG659867.1		
KX785332.1	Rift Valley fever virus	GenBank						12-JUN-2017	RVFBJ01/2016	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L					Homo sapiens		21-Jul-2016			Rift Valley fever virus isolate RVFBJ01/2016 segment L, complete sequence	2016-07-21		RVFBJ01/2016	rvf	KX785332.1		
GQ443228.1	Rift Valley fever virus	GenBank						25-JUL-2016	0693-08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	756	partial		M					Homo sapiens	serum	11-Mar-2008			Rift Valley fever virus strain 0693-08 segment M glycoprotein G2 gene, partial cds	2008-03-11		0693-08	rvf	GQ443228.1		
MG649057.1	Rift Valley fever virus	GenBank						30-DEC-2018	RVFV-BJ01-Urine-11d/2016	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3882	complete		M					Homo sapiens	urine	26-Jun-2016			Rift Valley fever virus isolate RVFV-BJ01-Urine-11d/2016 segment M, complete sequence	2016-06-26		RVFV-BJ01-Urine-11d/2016	rvf	MG649057.1		
PQ436087.1	Rift Valley fever virus	GenBank						18-NOV-2024	CD304/Rubanda2-2023	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6228	partial		L					Homo sapiens		2023-02-01			Rift Valley fever virus isolate CD304/Rubanda2-2023 segment L polymerase gene, partial cds	2023-02-01		CD304/Rubanda2-2023	rvf	PQ436087.1		
M33091.1	Rift Valley fever virus	GenBank						03-AUG-1993	Zimbabwian isolate ZIM37 (1853/78)	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	90	partial		M										Rift Valley fever virus (Zimbabwian isolate ZIM37 (1853/78)) M segment nonstructural glycoprotein gene, partial cds			Zimbabwian isolate ZIM37 (1853/78)	rvf	M33091.1		
KY126696.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA573/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M					Homo sapiens		2010			Rift Valley fever virus isolate SA573/10 segment M, complete sequence	2010		SA573/10	rvf	KY126696.1		
KX944867.1	Rift Valley fever virus	GenBank						25-OCT-2018	M57/74	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6280	partial		L					unknown		1974			Rift Valley fever virus isolate M57/74 segment L polymerase gene, partial cds	1974		M57/74	rvf	KX944867.1		
MG659829.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA95/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L					Homo sapiens		2010			Rift Valley fever virus isolate SA95/10 segment L, complete sequence	2010		SA95/10	rvf	MG659829.1		
OM744404.1	Rift Valley fever virus	GenBank						16-JUL-2022	40Fp8	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M							21-Jun-2016			Rift Valley fever virus isolate 40Fp8 segment M, complete sequence	2016-06-21		40Fp8	rvf	OM744404.1		
GQ443173.1	Rift Valley fever virus	GenBank						25-JUL-2016	6546-08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	627	partial		S					Bos taurus	liver	29-Nov-2008			Rift Valley fever virus strain 6546-08 segment S nonstructural protein gene, partial cds	2008-11-29		6546-08	rvf	GQ443173.1		
JF311372.1	Rift Valley fever virus	GenBank						16-JUN-2011	200803166	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L					Homo sapiens		Feb-1991			Rift Valley fever virus strain 200803166 segment L, complete sequence	1991		200803166	rvf	JF311372.1		
KY196509.1	Rift Valley fever virus	GenBank						13-NOV-2020	Ar12568	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S					Eretmapodites quinquevittatus		1971			Rift Valley fever virus isolate Ar12568 segment S, complete sequence	1971		Ar12568	rvf	KY196509.1		
JF311386.1	Rift Valley fever virus	GenBank						16-JUN-2011	200803162	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S					Homo sapiens		Jan-2008			Rift Valley fever virus strain 200803162 segment S, complete sequence	2008		200803162	rvf	JF311386.1		
EU574040.1	Rift Valley fever virus	GenBank						29-OCT-2008	2007001811	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M					caprine		01-Dec-2006			Rift Valley fever virus strain 2007001811 segment M, complete sequence	2006-12-01		2007001811	rvf	EU574040.1		
OR805805.1	Rift Valley fever virus	GenBank						30-MAY-2024	ZH548	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L					Homo sapiens	serum	1977			Rift Valley fever virus strain ZH548 segment L, complete sequence	1977		ZH548	rvf	OR805805.1		
PP746311.1	Rift Valley fever virus	GenBank						22-AUG-2024	Rwanda2022P116	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	5936	partial		unknown					Bos taurus		2022-07-01			Rift Valley fever virus strain Rwanda2022P116 polymerase gene, partial cds	2022-07-01		Rwanda2022P116	rvf	PP746311.1		
EU574058.1	Rift Valley fever virus	GenBank						29-OCT-2008	2007004193	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S					bovine		23-Apr-2007			Rift Valley fever virus strain 2007004193 segment S, complete sequence	2007-04-23		2007004193	rvf	EU574058.1		
KX944831.1	Rift Valley fever virus	GenBank						25-OCT-2018	M1955	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	partial		M					unknown		1955			Rift Valley fever virus isolate M1955 glycoprotein gene, complete cds	1955		M1955	rvf	KX944831.1		
KF717589.1	Rift Valley fever virus	GenBank						25-DEC-2013	211857	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	680	partial		M					Homo sapiens	human serum	05-Dec-2010			Rift Valley fever virus isolate 211857 segment M glycoprotein (G2) gene, partial cds	2010-12-05		211857	rvf	KF717589.1		
MG659964.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA1098/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S					Homo sapiens		2010			Rift Valley fever virus isolate SA1098/10 segment S, complete sequence	2010		SA1098/10	rvf	MG659964.1		
MH753238.1	Phlebovirus riftense	GenBank						02-FEB-2019	SA344-18	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1431	partial		unknown					Homo sapiens	whole blood	21-May-2018			Phlebovirus riftense isolate SA344-18 polymerase gene, partial cds	2018-05-21		SA344-18	rvf	MH753238.1		
MG659911.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA79/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S					Homo sapiens		2010			Rift Valley fever virus isolate SA79/10 segment S, complete sequence	2010		SA79/10	rvf	MG659911.1		
M33078.1	Rift Valley fever virus	GenBank						03-AUG-1993	Ugandan isolate Lunyo	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	90	partial		M										Rift Valley fever virus (Ugandan isolate Lunyo) M segment nonstructural glycoprotein gene, partial cds			Ugandan isolate Lunyo	rvf	M33078.1		
MG659886.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA1457/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L					Homo sapiens		2010			Rift Valley fever virus isolate SA1457/10 segment L, complete sequence	2010		SA1457/10	rvf	MG659886.1		
EU574028.1	Rift Valley fever virus	GenBank						29-OCT-2008	2007000222	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L					bovine		16-Jan-2007			Rift Valley fever virus strain 2007000222 segment L, complete sequence	2007-01-16		2007000222	rvf	EU574028.1		
PP746466.1	Rift Valley fever virus	GenBank						12-FEB-2025	N12	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1677	partial		S					Homo sapiens		01-Feb-2019			Rift Valley fever virus strain N12 nonstructural protein and nucleocapsid genes, complete cds	2019-02-01		N12	rvf	PP746466.1		
PP747237.1	Rift Valley fever virus	GenBank						15-JAN-2025	Rwanda2018RU1-SE	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3840	partial		M					Bos taurus		01-Jan-2018			Rift Valley fever virus strain Rwanda2018RU1-SE glycoprotein gene, partial cds	2018-01-01		Rwanda2018RU1-SE	rvf	PP747237.1		
KY926697.1	Rift Valley fever virus	GenBank						23-MAR-2018	rMP12-*NSs16/198	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1147	partial		S							10-Apr-2017			Mutant Rift Valley fever virus strain rMP12-*NSs16/198 N protein and truncated NSs protein genes, complete cds	2017-04-10		rMP12-*NSs16/198	rvf	KY926697.1		
EF076023.1	Belterra virus	GenBank						14-JUL-2016	Be An 356637				viral cRNA	768	partial		unknown										Belterra virus strain Be An 356637 RNA-dependent RNA polymerase gene, partial cds			Be An 356637	rvf	EF076023.1		
JF784386.1	Rift Valley fever virus	GenBank						09-NOV-2011	35/74	Phlebovirus riftense	Phlebovirus	Phenuiviridae	viral cRNA	6404	complete		L					sheep	liver	1974			Rift Valley fever virus strain 35/74 segment L, complete sequence	1974		35/74	rvf	JF784386.1		
